,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
0,1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,1,3,3472327,156943.0,0.714,0.472,-7.375,4.51e-06,0.0864,131.121
1,2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,1,2,7,2595609,175238.0,0.561,0.965,-3.673,7.07e-06,0.0343,128.04
2,3,spotify:track:5uSFGgIfHMT3osrAd9n9ym,Lewis Capaldi,Forget Me,Vertigo Berlin,2,3,5,2106290,203472.0,0.669,0.742,-3.518,0.0,0.0441,101.982
3,4,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,4,4,19,2053783,148486.0,0.704,0.797,-5.927,0.000745,0.0475,139.994
4,5,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,5,6,14,2049376,232067.0,0.686,0.494,-7.093,5.8e-05,0.0355,168.946
5,6,spotify:track:39JofJHEtg8I4fSyo7Imft,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Warner Records,2,5,10,1957245,226627.0,0.736,0.906,-7.589,0.585,0.048,137.001
6,7,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,7,10,11,1847466,225389.0,0.78,0.689,-5.668,9.69e-06,0.141,115.042
7,8,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,8,8,12,1725453,184613.0,0.733,0.69,-5.529,1.18e-06,0.0427,116.992
8,9,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,5,7,9,1691643,170977.0,0.951,0.878,-2.565,1.61e-05,0.211,133.014
9,10,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,9,28,1638817,167303.0,0.52,0.731,-5.338,0.00101,0.0557,173.93
10,11,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,2,12,12,1451307,97393.0,0.911,0.573,-7.43,0.0,0.288,140.04
11,12,spotify:track:40SBS57su9xLiE1WqkXOVr,LF SYSTEM,Afraid To Feel,Warner Records,1,11,20,1427365,177525.0,0.578,0.912,-3.929,0.00362,0.114,127.87
