,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
0,1,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,1,1,3,50678989,156943.0,0.714,0.472,-7.375,4.51e-06,0.0864,131.121
1,2,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,2,7,33390068,175238.0,0.561,0.965,-3.673,7.07e-06,0.0343,128.04
2,3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,3,28,31732480,167303.0,0.52,0.731,-5.338,0.00101,0.0557,173.93
3,4,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,4,14,30122972,198938.0,0.621,0.782,-5.548,0.033,0.044,128.033
4,5,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,5,5,15,29422694,162638.0,0.835,0.679,-5.329,1.98e-06,0.0364,124.98
5,6,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,7,23,25316735,178567.0,0.911,0.712,-5.105,2.68e-05,0.0817,92.005
6,7,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,6,23,25316403,243717.0,0.65,0.715,-5.198,0.000291,0.253,106.672
7,8,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,8,8,12,25006492,184613.0,0.733,0.69,-5.529,1.18e-06,0.0427,116.992
8,9,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,7,9,19,24931899,148486.0,0.704,0.797,-5.927,0.000745,0.0475,139.994
9,10,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,10,11,14,22726109,232067.0,0.686,0.494,-7.093,5.8e-05,0.0355,168.946
10,11,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,5,12,11,21198542,156788.0,0.914,0.622,-6.538,1.68e-05,0.0892,130.04
11,12,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,6,13,23,19782727,213061.0,0.801,0.475,-8.797,1.73e-05,0.0516,98.047
12,13,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,24,8,19384593,225389.0,0.78,0.689,-5.668,9.69e-06,0.141,115.042
13,14,spotify:track:7gRFDGEzF9UkBV233yv2dc,BLACKPINK,Shut Down,YG Entertainment/Interscope Records,1,10,4,19284957,175889.0,0.818,0.69,-5.119,0.0,0.0454,110.071
14,15,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,17,79,18165004,244360.0,0.442,0.538,-8.55,2.95e-05,0.0451,122.758
15,16,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3,14,23,17845484,258299.0,0.647,0.686,-5.745,1.34e-06,0.0413,79.928
16,17,spotify:track:76OGwb5RA9h4FxQPT33ekc,Rosa Linn,SNAP,Columbia,17,19,14,17741340,179551.0,0.565,0.636,-8.198,9.9e-06,0.0638,170.01
17,18,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,Nicki Minaj,Super Freaky Girl,Republic Records,14,15,9,17092565,170977.0,0.951,0.878,-2.565,1.61e-05,0.211,133.014
18,19,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Joji,Glimpse of Us,88rising Music/Warner Records,1,18,18,16869241,233456.0,0.44,0.317,-9.258,4.78e-06,0.0531,169.914
19,20,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,20,25,6,16797075,132631.0,0.571,0.544,-10.613,0.00805,0.0299,132.052
20,21,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,21,21,111,16525218,240400.0,0.612,0.807,-2.81,0.0177,0.0336,124.053
21,22,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,22,94,15584788,238805.0,0.761,0.525,-6.9,6.7e-06,0.0944,80.87
22,23,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,23,27,23,15523604,176667.0,0.346,0.5,-6.097,0.0,0.0388,202.466
23,24,spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Rimas Entertainment LLC,15,20,23,15355691,173119.0,0.876,0.498,-7.511,0.0,0.0478,122.016
24,25,spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,BLACKPINK,Pink Venom,YG Entertainment/Interscope Records,2,16,8,15343777,186964.0,0.693,0.734,-6.189,0.0,0.202,180.06
25,26,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,23,23,15120031,245940.0,0.804,0.674,-5.453,1.18e-06,0.0333,99.968
26,27,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,26,29,35,14575347,260253.0,0.586,0.525,-7.163,0.0,0.0615,133.629
27,28,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,28,32,7,14538848,239318.0,0.801,0.806,-5.206,0.000669,0.0381,106.999
28,29,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,28,66,14298555,141806.0,0.591,0.764,-5.484,0.0,0.0483,169.928
29,30,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,30,35,31,13959074,165265.0,0.772,0.75,-3.67,0.0,0.0455,114.061
30,31,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,31,36,14,13838589,183956.0,0.464,0.417,-9.345,0.022,0.0256,67.528
