,endTime,artistName,trackName,msPlayed,name,release_date,duration_ms,explicit,popularity,uri,details
2188,2022-01-07 00:52,!llmind,Take A Break - Interlude,48387,Take A Break - Interlude,2016-12-02,48386,False,37,spotify:track:3MZ0Obyv6AnO1anmGBJydv,"{'name': 'Take A Break - Interlude', 'release_date': '2016-12-02', 'duration_ms': 48386, 'explicit': False, 'popularity': 37, 'uri': 'spotify:track:3MZ0Obyv6AnO1anmGBJydv'}"
437,2021-12-13 22:55,"""Weird Al"" Yankovic","Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",1427,"Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)",2011-06-17,176800,False,54,spotify:track:5eZaT21ZVGyGHJ8kcwaNxA,"{'name': 'Party In the CIA (Parody of ""Party In The U.S.A."" by Miley Cyrus)', 'release_date': '2011-06-17', 'duration_ms': 176800, 'explicit': False, 'popularity': 54, 'uri': 'spotify:track:5eZaT21ZVGyGHJ8kcwaNxA'}"
822,2021-12-17 14:16,"""Weird Al"" Yankovic",The Hamilton Polka,300682,The Hamilton Polka,2018-03-02,300681,False,45,spotify:track:1nXCcO9Fp1mE0rzw39qOPY,"{'name': 'The Hamilton Polka', 'release_date': '2018-03-02', 'duration_ms': 300681, 'explicit': False, 'popularity': 45, 'uri': 'spotify:track:1nXCcO9Fp1mE0rzw39qOPY'}"
146,2021-12-09 16:24,'Come From Away' Band,Screech Out,104133,Screech Out,2017-03-10,104133,False,39,spotify:track:1KVRG1jgXKLrRwfGr3UIoa,"{'name': 'Screech Out', 'release_date': '2017-03-10', 'duration_ms': 104133, 'explicit': False, 'popularity': 39, 'uri': 'spotify:track:1KVRG1jgXKLrRwfGr3UIoa'}"
7325,2022-04-13 00:18,'Come From Away' Company,In The Bar / Heave Away,82320,In The Bar / Heave Away,2017-03-10,82320,False,42,spotify:track:3lFdzrvXYSx0xHRdc92SU8,"{'name': 'In The Bar / Heave Away', 'release_date': '2017-03-10', 'duration_ms': 82320, 'explicit': False, 'popularity': 42, 'uri': 'spotify:track:3lFdzrvXYSx0xHRdc92SU8'}"
6323,2022-03-18 20:17,'Come From Away' Company,Lead Us Out Of The Night,72093,Lead Us Out Of The Night,2017-03-10,72093,False,40,spotify:track:6S7i0RJAE7xcAS7KgHNYWN,"{'name': 'Lead Us Out Of The Night', 'release_date': '2017-03-10', 'duration_ms': 72093, 'explicit': False, 'popularity': 40, 'uri': 'spotify:track:6S7i0RJAE7xcAS7KgHNYWN'}"
1128,2021-12-20 13:24,'Come From Away' Company,Darkness And Trees,188160,Darkness And Trees,2017-03-10,188160,False,41,spotify:track:27fahUgDyUtRvQDrnqnBsG,"{'name': 'Darkness And Trees', 'release_date': '2017-03-10', 'duration_ms': 188160, 'explicit': False, 'popularity': 41, 'uri': 'spotify:track:27fahUgDyUtRvQDrnqnBsG'}"
1118,2021-12-20 12:57,'Come From Away' Company,38 Planes,3846,38 Planes (Reprise) / Somewhere In The Middle Of Nowhere,2017-03-10,262800,False,45,spotify:track:0yE2JdVc5CnZc6wuBCIMtj,"{'name': '38 Planes (Reprise) / Somewhere In The Middle Of Nowhere', 'release_date': '2017-03-10', 'duration_ms': 262800, 'explicit': False, 'popularity': 45, 'uri': 'spotify:track:0yE2JdVc5CnZc6wuBCIMtj'}"
159,2021-12-10 00:32,'Come From Away' Company,Blankets And Bedding,1537,Blankets And Bedding,2017-03-10,171733,False,44,spotify:track:31gHRdWxRNd5dqDriOe76j,"{'name': 'Blankets And Bedding', 'release_date': '2017-03-10', 'duration_ms': 171733, 'explicit': False, 'popularity': 44, 'uri': 'spotify:track:31gHRdWxRNd5dqDriOe76j'}"
1126,2021-12-20 13:16,'Come From Away' Company,Darkness And Trees - Reprise,104293,Darkness And Trees - Reprise,2017-03-10,104293,False,40,spotify:track:45kgznK2dCoCfhIXhanR1y,"{'name': 'Darkness And Trees - Reprise', 'release_date': '2017-03-10', 'duration_ms': 104293, 'explicit': False, 'popularity': 40, 'uri': 'spotify:track:45kgznK2dCoCfhIXhanR1y'}"
1121,2021-12-20 13:03,'Come From Away' Company,10 Years Later,8052,10 Years Later,2017-03-10,17120,False,1,spotify:track:0BPIzKfu32cbOfJvi0w5aD,"{'name': '10 Years Later', 'release_date': '2017-03-10', 'duration_ms': 17120, 'explicit': False, 'popularity': 1, 'uri': 'spotify:track:0BPIzKfu32cbOfJvi0w5aD'}"
1130,2021-12-20 13:28,'Come From Away' Company,Something's Missing,10696,Something's Missing,2017-03-10,336626,False,40,spotify:track:27YHWjdmczQiJGwcs0QLXT,"{'name': ""Something's Missing"", 'release_date': '2017-03-10', 'duration_ms': 336626, 'explicit': False, 'popularity': 40, 'uri': 'spotify:track:27YHWjdmczQiJGwcs0QLXT'}"
1124,2021-12-20 13:10,'Come From Away' Company,On The Edge,201546,On The Edge,2017-03-10,201546,False,40,spotify:track:740TcoSoPyi3uiSivnCEiI,"{'name': 'On The Edge', 'release_date': '2017-03-10', 'duration_ms': 201546, 'explicit': False, 'popularity': 40, 'uri': 'spotify:track:740TcoSoPyi3uiSivnCEiI'}"
6321,2022-03-18 20:14,'Come From Away' Company,On The Bus,66413,On The Bus,2017-03-10,66413,False,40,spotify:track:2tythudlLVft3TJx87pmVZ,"{'name': 'On The Bus', 'release_date': '2017-03-10', 'duration_ms': 66413, 'explicit': False, 'popularity': 40, 'uri': 'spotify:track:2tythudlLVft3TJx87pmVZ'}"
1120,2021-12-20 13:03,'Come From Away' Company,Phoning Home,33514,Phoning Home,2017-03-10,62466,False,39,spotify:track:6x7DkGiL1w8dsPzIx1ExoA,"{'name': 'Phoning Home', 'release_date': '2017-03-10', 'duration_ms': 62466, 'explicit': False, 'popularity': 39, 'uri': 'spotify:track:6x7DkGiL1w8dsPzIx1ExoA'}"
3819,2022-01-25 22:57,'In The Heights' Original Broadway Company,Breathe,244067,Breathe,2008-06-03,244066,False,52,spotify:track:6OSTrvIX8JXxRxFT4C9y0J,"{'name': 'Breathe', 'release_date': '2008-06-03', 'duration_ms': 244066, 'explicit': False, 'popularity': 52, 'uri': 'spotify:track:6OSTrvIX8JXxRxFT4C9y0J'}"
86,2021-12-09 09:57,13 Original Broadway Cast,13 / Becoming a Man,408573,13 / Becoming a Man,2008-09-30,408573,False,28,spotify:track:2krd4LJa2cNFvJvuzUTWfm,"{'name': '13 / Becoming a Man', 'release_date': '2008-09-30', 'duration_ms': 408573, 'explicit': False, 'popularity': 28, 'uri': 'spotify:track:2krd4LJa2cNFvJvuzUTWfm'}"
525,2021-12-14 15:48,2014 Golden Cove,Superheroes (Instrumental Version),245028,Superheroes (Instrumental Version),2014-07-25,245028,False,0,spotify:track:5vNRBC7HznMOMSoLX53kiC,"{'name': 'Superheroes (Instrumental Version)', 'release_date': '2014-07-25', 'duration_ms': 245028, 'explicit': False, 'popularity': 0, 'uri': 'spotify:track:5vNRBC7HznMOMSoLX53kiC'}"
1754,2022-01-01 23:20,5 Seconds of Summer,Amnesia,237247,Amnesia,2014-06-27,237247,False,66,spotify:track:0dIOvducp7ujHTqj66cQ3X,"{'name': 'Amnesia', 'release_date': '2014-06-27', 'duration_ms': 237247, 'explicit': False, 'popularity': 66, 'uri': 'spotify:track:0dIOvducp7ujHTqj66cQ3X'}"
1720,2022-01-01 22:53,5 Seconds of Summer,Don't Stop,14840,Don't Stop,2014-06-27,169935,False,56,spotify:track:4PCVZGch6Q57RVAcai9L8u,"{'name': ""Don't Stop"", 'release_date': '2014-06-27', 'duration_ms': 169935, 'explicit': False, 'popularity': 56, 'uri': 'spotify:track:4PCVZGch6Q57RVAcai9L8u'}"
3258,2022-01-19 22:15,5 Seconds of Summer,Youngblood,1312,Youngblood,2018-06-15,203417,False,81,spotify:track:2iUXsYOEPhVqEBwsqP70rE,"{'name': 'Youngblood', 'release_date': '2018-06-15', 'duration_ms': 203417, 'explicit': False, 'popularity': 81, 'uri': 'spotify:track:2iUXsYOEPhVqEBwsqP70rE'}"
